Y,MLR_YH,ANN_YH,GWR_YH,GWANN_YH,AGWNN_YH
2.35996952825801,6.28881819196351,6.74034137993834,3.35144241492885,3.0887856783493,2.85918555073327
2.29742978454231,5.1800047693207,5.0978938310342,2.79658061123074,2.72336793487839,2.34348249885803
3.50902076743851,5.25054543207876,5.67228088269516,3.64682763762041,3.4585993156736,3.28438507628598
2.55985822664857,4.36418871017656,4.3565111127887,2.78978317365671,2.95542348685965,3.02456830689827
4.70311670701639,6.10570312211475,6.46738277350685,4.96897110943307,5.30265076511434,4.72140482539762
5.27420061915371,6.2290371942737,6.42620426433577,5.16840416130149,5.18729910051345,5.2107848887647
5.03940807946225,5.92753299903349,6.24322384427312,4.88389905056056,5.07778039591276,5.10120063698849
5.49451463181573,7.17698085375384,6.90055820731114,5.97709067624186,5.98244024318929,5.62622976542436
2.89250817740828,4.82333409990822,4.76791673561526,3.27844751416559,3.20179005832025,2.888435360199
3.53842178458605,5.11581858738541,5.53173330107427,3.69995925053447,3.73190718741868,3.44714039018039
3.46966937365351,4.96494406965969,5.26434708167427,3.73587146335884,3.72890425391806,3.38356292770505
2.84297648781397,4.5311456235143,4.62016017083096,3.44785596629466,3.48979085369815,3.10388272965223
5.22899935946599,5.44173377342998,5.15736670415689,4.62147473192317,4.2727097570871,5.10186614470571
4.37421816739416,4.27703282111666,4.22382241400746,3.87422994917987,3.89137647598179,4.16486611446146
6.42849623864257,6.03796995119187,6.31118766541684,6.21928412117051,6.5505632429049,6.58503829592142
2.73477919375923,3.68874202583963,3.42242175091993,3.13589998521469,3.07190286049302,2.74958129683677
7.46968501854715,7.24071983948605,6.93733033379332,7.53952139513528,7.54108422543459,7.43133916097844
2.49389952412656,3.4004987290472,3.22244369483447,2.65839872247562,2.67351643284613,2.399513350958
3.28935569332669,5.49077256581033,5.62117711726552,3.99561362918578,3.89643820968351,3.15404954344936
3.81917624482277,4.99721680224152,5.2468328057431,3.87806817055869,3.71162388748394,3.79431759307474
2.55884921827625,5.04807681113389,5.2875343941909,2.99405407578601,2.76452056542304,2.52137956941354
2.14337702702562,3.9266819293052,3.83721670804279,2.46465110836537,2.51088176112556,2.24996362315632
2.38095438727439,3.98645847941561,3.82295395776407,2.42258346490949,2.63138184844175,2.08813527851287
3.91410754729305,5.48028501526465,5.64443979223435,4.03150860273003,4.03236577717729,3.9395514205348
5.49955224327628,6.18015393651284,6.20638188829636,5.70954939318274,5.7513729945884,5.69002601840778
5.00955213625564,5.29272658719222,5.7840207534143,4.64032641630421,4.76781731389732,4.81573716359015
3.09234022045303,4.07116816618572,3.91974606292317,3.20346083138437,3.20353687466054,2.93182841605814
4.31098052058843,5.40798754117731,5.70635094942149,4.423196753221,4.52735649386454,4.33159054594218
3.49846761329053,4.85410738128228,5.04848667689481,3.7149616324287,3.72022576902971,3.48019085120088
3.04076631534901,4.62489519319491,4.76238474046046,3.34706283544829,3.29016962792433,2.93187330779934
2.8627597700321,5.47515820937221,5.14334914113643,4.07780779914183,3.92859697799472,3.04417876776032
4.99222514087241,6.7030741305196,6.73058264643746,6.032552187905,5.94174024987523,4.98792344854571
5.49459764687311,5.92102869856861,5.89375881793782,5.6646198101904,5.71260231817127,5.50068892211076
6.59137617142631,6.55422583066545,6.06254073993818,6.69754148106723,6.46991837489165,6.53680430907904
2.56631765465275,3.49881345125474,3.31502101151189,3.1601165141654,3.02085819334456,2.57091506216323
5.93924369863775,5.16887748534835,5.59347469146239,5.33291806600434,5.69260922114041,5.86136945584883
7.57490807818913,6.91953245762233,7.04431208541537,7.15932451125013,7.40784924177886,7.60556050063163
6.60891864316489,7.42291009014976,6.97517502622795,7.56059483901543,7.47077027116688,6.6713627966207
3.04351886278023,4.93583022388956,4.7961417222476,3.68898538641681,3.32341238417799,3.14456460740374
4.66973842717217,5.73264686200272,6.24948483499665,4.89630892464656,5.13788459919143,4.61553909996802
3.9524184301124,6.47191696740077,6.75934768528865,4.30714843367103,3.95199832879173,3.83440160256828
