Y,MLR_YH,ANN_YH,GWR_YH,GWANN_YH,GNNWR_YH,AGWNN_YH,AGWNN_NR_YH
1.898979637,4.213197654,4.23468152,2.183975838,2.155622187,2.465889109,2.359327087,2.253263729
2.254171961,4.948808505,4.89542848,2.581906136,2.736455501,2.343080531,2.183388452,2.370062787
3.281605444,5.981730451,6.011206153,3.201363509,3.331052749,3.019069916,3.08084597,3.100995296
3.765053943,5.131553855,5.067070415,3.66142167,3.7600181,3.536746238,3.484162126,3.501495962
3.26191459,3.91906185,3.967042632,3.338643285,3.34504709,3.207709036,3.340157079,3.258201179
4.078162193,4.711994675,4.681065804,3.880753698,3.988980833,4.117864401,3.994921172,3.998277437
3.600423927,4.710047086,4.675678816,3.54918383,3.623785207,3.685429089,3.528350283,3.426525759
2.832936501,3.520421538,3.575396042,2.86249355,2.847409077,3.024371834,2.924587326,2.73653853
3.423415021,5.256872577,5.185540799,3.556195651,3.617074385,3.387067776,3.371730942,3.332818655
2.129383591,3.542999001,3.598514474,2.502791997,2.47572736,2.380465315,2.262412736,2.332253642
2.312383256,3.820845345,3.875075874,2.638798524,2.693287282,2.654102231,2.531016331,2.441602077
2.994435296,3.70149866,3.760017582,2.974985258,2.964858277,2.960198544,2.896737211,2.719699029
4.216450517,5.272010953,5.201140991,4.223610345,4.276797874,4.200246424,4.187495147,3.976562063
3.817445401,3.874513863,3.922558421,3.931134918,3.815691672,4.097463986,3.850149859,3.825258509
4.154457645,3.906311237,3.952267231,4.137357369,4.050881094,4.481168333,4.12796228,4.334130688
4.042109729,4.524908048,4.506381899,4.040949528,4.11121897,4.424931987,4.089239875,3.951051384
4.722328888,5.383394392,5.312463431,4.628887225,4.759720509,4.715673908,4.587640847,4.632703377
3.860201855,4.648311994,4.623243827,3.89938193,3.989012142,4.052535035,3.936791782,3.680148904
3.178013843,4.719376253,4.688999514,3.218156917,3.304540003,3.409394902,3.260875596,3.103857362
4.455340333,5.906789924,5.910640378,4.546661121,4.702629938,4.36567974,4.467931887,4.406524709
2.081525864,2.990025888,2.948459122,2.211757491,2.182854813,1.88979847,1.908946384,2.161734642
2.82731444,5.873111332,5.871287641,3.2400604,3.375876476,2.676062268,2.376478368,2.848758829
2.18590464,3.876056522,3.914511154,2.37895089,2.316803935,2.0826142,2.011137725,2.347993181
4.390690617,5.752562709,5.725039861,4.086438219,4.302590307,4.492327124,4.450318297,4.26351077
3.140158556,4.212539066,4.232184831,3.25941341,3.302114787,3.136243728,3.115198351,3.065291996
3.519862229,4.88460407,4.832699663,3.580374139,3.687191631,3.543966728,3.486393624,3.377806922
2.600839574,3.165644491,3.174228581,2.623994857,2.502157118,2.758714227,2.613563626,2.702827252
3.280925597,3.637265766,3.690964754,3.214449333,3.256359686,3.569223784,3.357391894,3.059835526
2.628755218,3.383476038,3.426103897,2.725338378,2.681723511,2.700143975,2.564025641,2.558434688
3.063454006,4.199181428,4.213612067,3.147920532,3.19052526,3.03547009,3.024718035,2.814722998
3.440545416,5.336094647,5.270818592,3.729374374,3.852657151,3.361656243,3.312777012,3.232858668
3.805435882,5.236533236,5.170404773,3.928956687,4.041354738,3.880775913,3.879177754,3.642048038
3.677187456,4.06414865,4.099717385,3.633557676,3.620420957,3.86817841,3.633046973,3.563960441
3.792674067,3.904304292,3.948710367,3.982391267,3.932884654,3.972736256,3.935995322,3.81934196
4.177378803,4.04421394,4.080668542,4.042537821,4.045079274,4.30072309,4.273127564,4.002759152
5.115014157,5.131443568,5.06492984,5.04440728,4.973306131,5.223984255,5.239774196,5.173158011
3.524559688,3.575452126,3.631857925,3.708903806,3.672984631,3.86957372,3.649943533,3.477389492
5.389156525,6.163667226,6.28002208,5.25776493,5.447022747,5.438889346,5.463035992,5.439618792
2.400860397,3.009488234,2.976453328,2.790485933,2.616863793,2.631584368,2.560485737,2.476975697
2.317462821,2.991372812,2.951781728,2.649488155,2.49823219,2.582159186,2.53860567,2.462585543
3.194801842,5.139727875,5.075782175,3.149359604,3.351500097,3.222692804,2.870102796,2.785993464
2.868602803,4.353835187,4.361545495,2.851188371,3.008743777,2.724916836,2.567440449,2.477599317
3.002342184,3.855898382,3.907483799,2.902135054,2.986096905,2.814468429,2.817906633,2.625701082
2.441216358,3.455620787,3.498710383,2.871811974,2.697047202,2.534098629,2.48708986,2.738129781
4.450079151,4.498749105,4.490954173,4.097904642,4.177230523,4.44505554,4.347425471,4.126597495
4.682180084,4.856196515,4.809844955,4.422317196,4.429238785,4.617848436,4.669476383,4.524388986
4.105661963,4.742613514,4.705569501,4.065953761,4.133987935,4.056521783,4.160097453,3.832040494
3.590579279,4.202495071,4.225147234,3.550871672,3.643626996,3.739651149,3.678956162,3.509531221
3.67912068,4.294593457,4.302661145,3.796409416,3.887479126,3.9718326,3.785085734,3.477827051
2.699088591,3.212239552,3.234223963,2.750039116,2.690808393,2.744351531,2.641554717,2.563473352
3.58724788,4.735697177,4.695363027,3.809740981,3.893870693,3.678417342,3.562001288,3.469764443
