Y,MLR_YH,ANN_YH,GWR_YH,GWANN_YH,GNNWR_YH,AGWNN_YH,AGWNN_NR_YH
1.946332425,3.771651164,3.70785428,2.183801808,2.079313705,2.287944416,2.468114776,2.24418666
2.139280024,4.398968551,4.401081033,2.390353052,2.480968298,2.179343381,2.282518753,2.290444023
2.878887791,5.443591312,5.552181623,2.861650792,2.921140545,2.798892081,2.877057025,2.736586395
3.255408167,4.561671932,4.590715048,3.208810676,3.299049857,3.326283055,3.345322203,2.849351003
2.852462551,3.521877387,3.463695577,2.957162831,2.943361749,3.032517174,3.017930226,2.805154999
3.531940561,4.198791083,4.175224773,3.441716795,3.479198588,3.42826681,3.567662523,3.546950082
3.08719562,4.182457695,4.149721768,3.051714467,3.119142516,3.05323688,3.266230634,3.035769886
2.567496337,3.152443055,3.145213124,2.599043702,2.572646218,2.769089211,2.936308344,2.528977314
2.99531552,4.664476444,4.700767142,3.06251648,3.109925362,3.085112991,3.00419269,3.01363449
2.055177605,3.184492055,3.180795045,2.321847479,2.28294035,2.03647661,2.20986426,2.308804
2.195859669,3.442198692,3.39724223,2.399762475,2.443942296,2.373155538,2.328398068,2.352526958
2.697371194,3.33192534,3.29603291,2.62114545,2.664645733,2.677797275,2.655977741,2.473604137
3.537090312,4.682422182,4.723654275,3.502935397,3.592515682,3.570830068,3.500019745,3.577631627
3.326828959,3.492651413,3.459886737,3.291559066,3.362389925,3.527857184,3.360245972,3.359476285
3.660732348,3.520968212,3.487790179,3.497547071,3.567394081,3.708093297,3.582084652,3.657674902
3.515187973,4.016717433,3.97561405,3.479071832,3.515786259,3.661085845,3.652251734,3.625170338
4.038694272,4.78024514,4.831976976,4.020516207,4.077095402,4.025754162,4.026942983,3.992549459
3.308641781,4.14094116,4.10543078,3.333252548,3.470680248,3.352927153,3.494122773,3.1731335
2.79644253,4.213776065,4.211590065,2.837382155,2.891952549,2.789781954,2.854261396,2.707882353
4.181219432,5.346092557,5.451624427,4.282146058,4.275093255,4.092185795,4.126031729,4.222895169
2.052903219,2.572110125,2.756436609,2.122012811,2.122424817,2.05784869,2.246416525,2.150823068
2.557403028,5.318301201,5.430370429,2.890978601,2.95386557,2.289620718,2.353256928,2.599804569
2.090520757,3.460872085,3.423256253,2.244929879,2.153185597,2.237909701,2.004812517,2.232048632
3.851778503,5.183557615,5.292352407,3.782269744,3.757206286,4.105552972,3.904583897,3.579841593
2.745658844,3.766226083,3.703864122,2.887420011,2.897839789,2.952936358,2.99046346,2.703408854
3.023041714,4.32622884,4.313730023,3.077336164,3.126022904,3.02700228,3.521336342,3.070163273
2.399206186,2.773329825,2.876223441,2.414313629,2.287843663,2.508298076,2.39130043,2.533856532
2.90757457,3.275063569,3.266883962,2.850469781,2.942013596,2.909335067,2.821391518,2.766141796
2.406051547,3.009296642,3.038895872,2.529321086,2.438604511,2.342752816,2.506034826,2.410176518
2.72418866,3.741800772,3.69044048,2.761635753,2.803654396,2.843663545,2.962077299,2.542443199
2.986531174,4.758117179,4.825119088,3.227270277,3.276986744,2.934706189,2.895686782,2.973165822
3.241110479,4.662058114,4.712079671,3.348067785,3.438800015,3.232723147,3.253551439,3.21560322
3.204290882,3.658605965,3.616911239,3.109019461,3.171389868,3.104986817,3.116046989,3.170865246
3.271628438,3.49865155,3.446070474,3.303579265,3.369177121,3.471792675,3.281775272,3.361854408
3.530982911,3.625294447,3.563006677,3.419747162,3.483062059,3.575806735,3.570937278,3.357988919
4.291587544,4.554354384,4.575842574,4.234528692,4.27069813,4.415375707,4.306049813,4.386480341
3.059209683,3.215902752,3.206583546,3.190273087,3.224325614,3.025477091,3.064450716,3.087494815
4.713308629,5.696689745,5.79215168,4.738523772,4.697119257,4.498360679,4.609384343,4.757336921
2.281990915,2.596821508,2.768493954,2.476459195,2.361584001,1.991641623,2.028069678,2.37419081
2.215124499,2.573474041,2.754898589,2.3689984,2.282172234,2.304264805,2.277289165,2.34406614
2.863250988,4.571683713,4.605420667,2.864537233,2.985134406,2.666193944,2.871230306,2.594464206
2.577558811,3.894244325,3.836253173,2.604426,2.725493253,2.484598235,2.598194863,2.323468204
2.680477028,3.465441206,3.411563569,2.61478432,2.70497199,2.669487322,2.609644145,2.378404791
2.30607754,3.073758156,3.093409687,2.495295543,2.401518605,2.361571863,2.280438546,2.485372305
3.89746573,4.019299731,3.974765825,3.73543909,3.754473699,3.873752474,3.838533023,3.772041909
4.06751025,4.315700697,4.302238985,3.895147349,3.909274644,3.812814426,4.189016759,4.064939368
3.460887387,4.212319456,4.182709446,3.495953002,3.573761579,3.38462912,3.669559275,3.397274569
3.077793499,3.762830991,3.698865161,3.101135604,3.20536518,3.090969571,3.140716739,3.105119757
3.261657171,3.85814637,3.860044353,3.2348245,3.460149379,3.099433487,3.141677525,3.285788316
2.47735678,2.833507827,2.91282039,2.500718634,2.452002059,2.434988563,2.365032478,2.414790153
3.13058221,4.19227003,4.169970327,3.300072775,3.347165796,3.539719346,3.324324072,3.074845396
3.509918242,4.245407863,4.220071711,3.471836653,3.581023418,3.690850027,3.454145259,3.345586082
3.413540977,3.540328463,3.481051954,3.251765015,3.346813204,3.387850165,3.2945611,3.518021861
4.653975475,4.763693039,4.812812099,4.463272012,4.508567742,4.588946021,4.662256194,4.968667401
4.166931089,3.523716153,3.500538159,4.024595554,4.102618147,4.244719334,4.079209726,4.25553166
2.511042618,2.330042376,2.62479945,2.810711919,2.632656888,2.488221227,2.481974657,2.710846509
4.288107541,4.2349271,4.210041738,4.093194942,4.149370101,4.31401746,4.267156205,4.1993896
3.355668025,3.527067117,3.473783431,3.385262037,3.440449295,3.315467767,3.338147431,3.100217606
4.17282492,4.483718573,4.492033174,4.359926039,4.295901128,4.068246792,4.201782552,3.9026095
2.809518586,3.056286985,3.0705917,2.788875789,2.879808802,2.664643958,2.902142918,2.608886942
2.210339192,2.11793192,2.529009458,2.30310995,2.151585355,2.670841147,2.610941663,2.315339595
3.474918272,5.273230666,5.383107838,3.839857869,3.848304524,3.413703293,3.577078962,3.494309947
4.579792848,5.75968601,5.848556642,4.162029068,4.207676913,4.309983221,4.393112643,4.150784499
3.511929426,3.688860711,3.628302061,3.566142357,3.678055574,3.713053415,3.59399185,3.600477564
3.551006905,3.7133757,3.648974926,3.431804982,3.490855882,3.620893411,3.647118106,3.679536914
3.526045589,4.302879057,4.289735993,3.389549472,3.391756411,3.342349732,3.570393104,3.361387291
4.387597508,3.502459791,3.487218806,4.212268283,4.194178729,4.257179886,4.447290922,4.508052348
4.60659052,4.843570922,4.910486148,4.654746475,4.667272042,4.541465617,4.781091572,4.689734121
3.437649961,4.259087136,4.243646879,3.535641086,3.591131987,3.306892729,3.230084066,3.404640224
2.393681163,2.5666252,2.751479218,2.481143038,2.402277402,2.508992418,2.32364557,2.527469506
3.341487389,4.000192332,3.948466652,3.349622066,3.477705084,3.384830693,3.351045494,3.059128739
4.761052046,5.315498268,5.420649081,4.76473287,4.705996369,4.79612368,4.53028317,4.925447093
4.986535923,4.720953927,4.779049626,4.592888306,4.64732975,4.93441145,4.930795545,5.224823646
3.151601016,2.972836271,3.009702668,3.150300422,3.132510825,3.194515775,3.041896465,3.085692755
4.903366392,4.129728528,4.095544818,4.685643851,4.685253025,4.872884943,4.973355555,5.098128285
