Y,MLR_YH,ANN_YH,GWR_YH,GWANN_YH,GNNWR_YH,AGWNN_YH,AGWNN_NR_YH
3.791913809,4.111651691,4.060294734,3.666921074,3.624059649,4.109755944,3.89855538,4.08055808
4.585395875,4.667487941,4.669596042,4.548923448,4.417802047,4.610135814,4.626920984,4.420972903
5.071872589,5.658436766,5.721567464,4.860843949,4.688779969,4.915226497,4.551460158,4.79660579
4.790092804,4.812783268,4.833735708,4.651755484,4.593511639,4.6703871,4.526769677,4.513310592
3.512903087,3.871117449,3.823552299,3.32657994,3.338538121,3.682165348,3.483144582,3.467369663
4.033986177,4.475274607,4.458728422,3.979841747,4.033044349,4.09961956,4.16684366,3.986015664
3.334343792,4.510670664,4.480606732,3.428399224,3.385251098,3.624838832,3.335532475,3.347251126
2.696413117,3.533122513,3.518684344,2.659888109,2.675490457,2.980754832,2.617719988,2.847448809
3.16885906,4.946865718,4.969027636,3.293519545,3.317298466,3.283062887,3.362705707,3.06019874
2.12693057,3.516624094,3.515887351,2.329498941,2.42673602,2.203703539,2.487993633,2.263009424
2.394332221,3.766579706,3.733434069,2.571618718,2.603785333,2.531390822,2.624689927,2.464366256
2.823966422,3.673477951,3.645638231,2.78515312,2.811619648,2.753648875,2.766032836,2.744405455
3.838784018,4.948832307,4.976977341,3.764104969,3.714034871,3.880034467,3.965180071,3.860561055
3.389105076,3.787402725,3.763213843,3.396377853,3.438558083,3.485386558,3.358328022,3.689214061
4.03718355,3.811999216,3.787107091,3.745836254,3.784207228,3.960396411,4.024334296,3.999246761
4.164258833,4.386079713,4.33785397,4.375746464,4.282043058,4.382272626,4.139337777,4.241761331
5.675366939,5.070478708,5.098305898,5.607637886,5.735913398,5.428765079,5.573019856,5.287808252
5.641927244,4.437144269,4.41150051,5.297656428,5.411748739,5.484526383,5.824949442,5.406529734
5.553734998,4.455424928,4.448937369,5.591987567,5.705177971,5.599784482,5.796089449,5.657702911
7.093397696,5.581030938,5.640952911,6.977027913,6.904419692,7.059613561,6.649487719,6.831419657
3.693861896,2.952753076,3.098988735,3.622620521,3.635864566,3.872459623,3.770258241,3.810281155
5.078563568,5.513865902,5.586781126,5.259799056,5.166017812,5.315896044,5.208792257,4.829839838
2.202984543,3.866543497,3.814373872,2.43953498,2.730999184,2.383582913,2.785064543,2.494523507
5.143570739,5.376229272,5.448667536,5.30705327,5.306057701,5.444840425,5.531934541,4.96243102
3.264062737,4.120422985,4.066243731,3.222348937,3.251184584,3.395321923,3.125515838,3.104831102
3.362700953,4.66164224,4.640923356,3.571841379,3.562489098,3.639218892,3.437366391,3.371756931
2.513183773,3.189395136,3.252190186,2.412724473,2.545792524,2.6353614,2.571371507,2.636880268
2.567793278,3.584435307,3.580559923,2.475987635,2.547912408,2.652511678,2.467277182,2.459703996
2.546368646,3.41254358,3.419718196,2.634107316,2.61833628,2.3910724,2.491676539,2.524588317
3.065773941,4.128972298,4.070515182,3.18611895,3.089243671,3.226399215,2.901725445,3.15472343
3.08251858,4.973484968,5.018173074,3.261530268,3.244584407,3.166997298,3.103219353,2.971484523
3.208352602,4.89159662,4.925796386,3.381867486,3.312400425,3.301281626,3.26146391,3.150472704
2.992604862,3.944409801,3.912767881,3.056932403,3.051002644,2.988991949,2.948101336,3.061394189
3.606894367,3.876412821,3.824436324,3.638934102,3.627046784,3.422365208,3.779719501,3.617043215
4.006155132,3.982575608,3.928920848,3.854492595,3.759111846,3.809526791,3.880719877,3.858033012
5.243864183,4.829792612,4.844440481,5.231978003,5.296498519,5.314456697,5.345502839,5.224298689
4.326379805,3.545548157,3.540467635,4.12284193,4.117062413,4.480721311,4.088654339,4.415140248
6.941752434,5.892105952,5.938127175,7.052166133,6.877551276,7.131484962,6.623299661,7.034376192
3.704659064,2.982945251,3.116518967,3.69663524,3.663149133,3.544090144,3.666372272,3.811460612
3.692079915,2.961920753,3.102962956,3.669213154,3.674911849,3.400877356,3.610192788,3.672197401
4.907510416,4.813916454,4.837574242,4.75333503,4.751991567,4.693848342,5.096354446,4.626576484
4.202636053,4.210729181,4.167318763,3.863180532,3.807724357,3.896936174,3.633630809,3.817520304
3.622945683,3.820625929,3.775241688,3.35377398,3.328693886,3.480357469,3.208459716,3.368143288
2.453621416,3.489535942,3.48229807,2.524902447,2.797967119,2.63571556,2.81745991,2.590245753
4.11875119,4.311782601,4.279780713,3.775026955,3.845176833,3.968448702,4.127207182,3.897868399
3.870204767,4.602661852,4.593039643,3.690033914,3.769992716,3.665480176,3.944487094,3.702771288
3.268176708,4.530536243,4.504987623,3.437783301,3.403003703,3.206693784,3.272780453,3.214182426
2.768613545,4.102806472,4.051396316,3.050704273,2.95829973,2.854352815,2.72992435,2.788141326
2.499638171,4.090701239,4.077752737,2.612903968,2.626622727,2.364855152,2.499884232,2.548212498
2.60668762,3.228411968,3.280723911,2.577421232,2.602946991,2.408440869,2.497735038,2.683172771
3.504621527,4.558818713,4.521353287,3.691042065,3.700675622,3.913443351,3.607419872,3.594954679
3.4899236,4.555127131,4.534174945,3.576897347,3.529244074,3.521146162,3.420537807,3.340272802
3.077194725,3.886822884,3.838946802,3.287559897,3.255550827,3.220356547,3.158629569,3.146099184
4.425629708,5.060071152,5.084561855,4.325373345,4.322938566,4.460280732,4.679608578,4.378591477
3.566705303,3.803424176,3.784356252,3.679275954,3.664863715,3.820337027,3.576214688,3.675527678
2.643442496,2.747982897,2.973781973,2.67979353,2.864986756,2.62797702,2.961682445,2.648370013
5.31902465,4.529403541,4.511245046,5.130918016,5.251263726,5.211224147,5.562531598,5.268399557
4.83928369,3.850150893,3.810543771,4.589292187,4.657600819,4.707965475,4.939323182,4.800592452
5.887600743,4.795825341,4.794246092,5.773053655,5.902450448,6.163907048,6.298582098,5.993105722
4.222706735,3.434398804,3.43868443,4.218883288,4.248660431,4.047554327,4.372270176,4.318002963
2.434804843,2.555389322,2.872360881,2.533969462,2.767817835,2.546725144,3.059309405,2.636407834
4.877150744,5.475809191,5.547728144,4.993864873,5.04598712,4.945212182,4.960654385,4.910407637
